11-14 21:52:12 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (9.74128) 0 -> 0
11-14 21:55:12 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (10.0408) 0 -> 0
11-14 21:58:12 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (10.3403) 0 -> 0
11-14 22:01:11 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (10.6398) 0 -> 0
11-14 22:03:51 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (10.9055) 0.000157538
11-14 22:04:11 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (10.9392) 0 -> 0
11-14 22:07:11 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (11.2387) 0 -> 0
11-14 22:10:10 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (11.5382) 0 -> 0
11-14 22:13:10 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (11.8377) 0 -> 0
11-14 22:14:15 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (11.9459) overcast: 0.0973876
11-14 22:14:15 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (11.9459) 0
11-14 22:16:10 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (12.1372) 0 -> 0
11-14 22:19:09 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (12.4367) 0 -> 0
11-14 22:22:09 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (12.7362) 0 -> 0
11-14 22:25:09 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (13.0357) 0
11-14 22:28:58 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (13.4179) 0 -> 0.880459
11-14 22:30:38 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (13.5847) 0.880459 -> 0.975494
11-14 22:31:43 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (13.693) 0.975494 -> 0.822248
11-14 22:33:05 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (13.8298) 0.823908 -> 0.955712
11-14 22:34:19 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (13.9523) 0
11-14 22:34:56 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (14.0149) 0.955712 -> 0.897342
11-14 22:36:39 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (14.1866) 0.897342 -> 0.846864
11-14 22:37:07 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (14.2334) overcast: 0.922663
11-14 22:37:07 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (14.2334) 0.882282
11-14 22:38:17 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (14.35) 0.846864 -> 0.998236
11-14 22:39:25 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (14.4634) 0.996894 -> 0.908042
11-14 22:40:39 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (14.5851) 0.909827 -> 0.979022
11-14 22:42:21 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (14.7552) 0.976746 -> 0.831935
11-14 22:44:12 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (14.9403) 0.831935 -> 0.929582
11-14 22:45:56 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (15.1137) 0.929582 -> 0.87875
11-14 22:47:02 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (15.2237) 0.87875 -> 0.874984
11-14 22:48:53 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (15.4088) 0.874984 -> 0.916062
11-14 22:49:42 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (15.4902) overcast: 0.96768
11-14 22:49:42 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (15.4902) 0.895356
11-14 22:50:39 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (15.5855) 0.916062 -> 0.896243
11-14 22:51:50 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (15.7039) 0.896243 -> 0.996612
11-14 22:52:50 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (15.8039) 0.996416 -> 0.816114
11-14 22:54:15 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (15.9457) 0.816114 -> 0.962139
11-14 22:55:48 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (16.1007) 0.960308 -> 0.922947
11-14 22:56:56 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (16.2141) 0.923811 -> 0.845375
11-14 22:58:20 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (16.3542) 0.845375 -> 0.917478
11-14 22:59:21 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (16.4559) 0.917478 -> 0.967144
11-14 23:01:07 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (16.6326) 0.967144 -> 0.918253
11-14 23:02:47 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (16.7994) 0.919432 -> 0.900113
11-14 23:04:33 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (16.9761) 0.900469 -> 0.889883
11-14 23:04:47 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (16.9992) 0
11-14 23:05:43 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (17.0934) overcast: 0.889969
11-14 23:05:43 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (17.0934) 0.892085
11-14 23:06:10 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceStorm:: (17.1378) 0.889883 -> 0.893942
11-14 23:07:31 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (17.2729) 0.893942
11-14 23:09:26 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (17.4647) 0.633341
11-14 23:12:47 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (17.7989) 0
11-14 23:14:32 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (17.974) 0.300339 -> 0
11-14 23:16:51 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (18.2051) overcast: 0.455791
